page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
K1:MK831RYX9D,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:MK831RYX9D is a mixed salt whose active moiety is UT-231B Free Base (MK831RYX9D); TARTARIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,UT-231B Free Base,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:MRJ667KA5E,K1:NPU9M2E6L8,the evidence links the two pages but no rule in the spec's order decides them,merge,"R7y identical name 'Methylcellulose (4000 MPA.S)' and no structure on either page; UNIIs ['MRJ667KA5E'] / ['NPU9M2E6L8'], substance classes ['polymer'] / ['polymer']",medium,NOT-LICENSED,rest,2,a merge at medium confidence,K1:NPU9M2E6L8,page_b,Methylcellulose (4000 MPA.S),Methylcellulose (15 MPA.S),,,,remainder
K1:MT6QI8324A,K1:3B8D35Y7S4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a MAGNESIUM LACTATE is Lactic Acid, Dl (JVTAAEKCZFNVCJ) plus counter-ions or solvate, but FDA records the active moiety of MAGNESIUM LACTATE as MAGNESIUM CATION (T6V3LHY838), not Lactic Acid, Dl; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:3B8D35Y7S4,page_b,"Lactic Acid, Dl",MAGNESIUM LACTATE,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:N712M78A8G,K1:V1I29R0RJQ,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons RQNWIZPPADIBDY vs RBFQJDQYXXHULB; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:V1I29R0RJQ,page_b,Arsenic,Arsenic Trihydride,,structure_conflict,,remainder
K1:N8NP6FR80R,K4:cupric,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Cupric Phosphate' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Cupric",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:cupric,page_b,Cupric Phosphate,Cupric,,,,review
K1:N9I9HDB855,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons RBOXVHNMENFORY vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Dihydrocodeine,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:O352864B8Z,K1:4E862E7GRQ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R4z shared parent XPPKVPWEQAFLFU has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:4E862E7GRQ,page_b,Pyrophosphoric Acid,SODIUM PYROPHOSPHATE,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:O4L1XPO44W,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons CJOFXWAVKWHTFT vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,MALEIC ACID,Fluvoxamine,,structure_conflict,related_form_of,
K1:O84B5194RL,K1:SZH16H44UY,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Juniper Berry Oil and Juniper Berry are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:SZH16H44UY,page_b,Juniper Berry,Juniper Berry Oil,,,,remainder
K1:OSD78555ZM,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Bromide (IOLCXVTUBQKXJR-UHFFFAOYSA-M) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,,none recorded,Potassium Bromide,,,,,
K1:P484053J2Y,K1:8CBV67279L,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R4z shared parent JPVYNHNXODAKFH has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:8CBV67279L,page_b,Cupric Cation,CUPRIC CHLORIDE ANHYDROUS,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:Q6C979R91Y,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:Q6C979R91Y is a mixed salt whose active moiety is Vinorelbine (Q6C979R91Y); TARTARIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Vinorelbine,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:Q7Y33N57ZZ,K1:F9S9FFU82N,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons IFRGXKKQHBVPCQ vs JVTAAEKCZFNVCJ; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:F9S9FFU82N,page_b,Lactic Acid,Onalespib,,structure_conflict,related_form_of,
K1:QB99VZZ7GZ,K1:ZBP1YXW0H8,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Citronellal ['QB99VZZ7GZ'] and Lavender Oil ['ZBP1YXW0H8'], preferred names CITRONELLAL and LAVENDER OIL; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:ZBP1YXW0H8,page_b,Citronellal,Lavender Oil,,,,remainder
K1:QVF9Y6955W,K1:1HTE449DGZ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: Gadoteric acid ['QVF9Y6955W'] and Tetraxetan ['1HTE449DGZ'], preferred names Gadoteric Acid and Tetraxetan; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:1HTE449DGZ,page_b,Tetraxetan,Gadoteric acid,,structure_conflict,,
K1:R17X820ROL,K1:30KYC7MIAI,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a Magnesium Aspartate is Aspartic acid (CKLJMWTZIZZHCS) plus counter-ions or solvate, but FDA records the active moiety of Magnesium Aspartate as MAGNESIUM CATION (T6V3LHY838), not Aspartic acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:30KYC7MIAI,page_b,Aspartic acid,Magnesium Aspartate,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:R3G3HB38O4,K1:5UTX5635HP,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: TRIS(8-HYDROXYQUINOLINATO)GALLIUM ['R3G3HB38O4'] and Oxyquinoline ['5UTX5635HP'], preferred names TRIS(8-HYDROXYQUINOLINATO)GALLIUM and Oxyquinoline; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:5UTX5635HP,page_b,Oxyquinoline,TRIS(8-HYDROXYQUINOLINATO)GALLIUM,,structure_conflict,related_form_of,
K1:R5L488RY0Q,K1:88XHZ13131,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4x §1 the removed fragment is not a counter-ion: Ferrous Fumarate carries Fe that Fumaric Acid does not; shared organic fragment VZCYOOQTPOCHFL is the ligand, not the substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:88XHZ13131,page_b,Fumaric Acid,Ferrous Fumarate,metal complex,structure_conflict,related_form_of,
K1:R74O7T8569,K1:05456MVL7T,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R4z shared parent PZDJSXWIQXZUBJ has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:05456MVL7T,page_b,Radium Cation,Radium Bromide,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:RFJ7QXF345,K2:PWZFXELTLAQOKC-UHFFFAOYSA-A,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts of BVKZGUZCCUSVTD; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K2:PWZFXELTLAQOKC-UHFFFAOYSA-A,page_b,Aluminum Magnesium Hydroxide Carbonate,Hydrotalcite,,structure_conflict,,remainder
K1:RHO26O1T9V,HOLD:existing:anhydrous-citric-acid,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a Magnesium Citrate is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of Magnesium Citrate as MAGNESIUM CATION (T6V3LHY838), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,HOLD:existing:anhydrous-citric-acid,page_b,Anhydrous Citric Acid,Magnesium Citrate,,structure_conflict,related_form_of,
K1:RHO26O1T9V,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a Magnesium Citrate is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of Magnesium Citrate as MAGNESIUM CATION (T6V3LHY838), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:XF417D3PSL,page_b,Magnesium Citrate,Anhydrous Citric Acid,,structure_conflict; moiety_match; fragment_match,related_form_of,remainder
K1:ROV204583W,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:5XE21E41RT -> K1:ROV204583W; the two names denote one live page (Givosiran),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Givosiran,,,,,
K1:ROV204583W,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:5XE21E41RT -> K1:ROV204583W; the two names denote one live page (Givosiran),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Givosiran,,,,,
K1:RTJ1W9DF34,K4:cobaltous,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Cobaltous Iodide' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Cobaltous",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:cobaltous,page_b,Cobaltous Iodide,Cobaltous,,,,review
K1:RV823G6G67,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4x §1 the removed fragment is not a counter-ion: Copper Gluconate carries Cu that Gluconic Acid does not; shared organic fragment RGHNJXZEOKUKBD is the ligand, not the substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:R4R8J0Q44B,page_b,Gluconic Acid,Copper Gluconate,metal complex,structure_conflict,related_form_of,
K1:RZT8C352O1,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:67P6XH37HD -> K1:RZT8C352O1; the two names denote one live page (Lumasiran),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Lumasiran,,,,,
